Tiempo de predicción,Año,Presupuesto de horas,Horas acertadas
2,2024,340,73
2,2024,350,74
2,2024,360,75
2,2024,370,75
2,2024,380,78
2,2024,390,78
2,2024,400,78
1,2024,10,4
1,2024,20,6
1,2024,30,13
1,2024,40,15
1,2024,50,20
1,2024,60,24
1,2024,70,25
1,2024,80,27
1,2024,90,30
1,2024,100,35
1,2024,110,37
1,2024,120,39
1,2024,130,44
1,2024,140,45
1,2024,150,48
1,2024,160,50
1,2024,170,55
1,2024,180,56
1,2024,190,56
1,2024,200,57
1,2024,210,60
1,2024,220,61
1,2024,230,62
1,2024,240,64
1,2024,250,65
1,2024,260,65
1,2024,270,66
1,2024,280,67
1,2024,290,68
1,2024,300,70
1,2024,310,72
1,2024,320,72
1,2024,330,73
1,2024,340,76
1,2024,350,77
1,2024,360,77
1,2024,370,78
1,2024,380,79
1,2024,390,79
1,2024,400,79
168,2025,10,0
168,2025,20,0
168,2025,30,2
168,2025,40,4
168,2025,50,7
168,2025,60,10
168,2025,70,11
168,2025,80,12
168,2025,90,14
168,2025,100,16
168,2025,110,19
168,2025,120,21
168,2025,130,22
168,2025,140,23
168,2025,150,26
168,2025,160,26
168,2025,170,27
168,2025,180,28
168,2025,190,29
168,2025,200,29
168,2025,210,30
168,2025,220,33
168,2025,230,35
168,2025,240,37
168,2025,250,40
168,2025,260,41
168,2025,270,41
168,2025,280,43
168,2025,290,46
168,2025,300,47
168,2025,310,48
168,2025,320,49
168,2025,330,50
168,2025,340,51
168,2025,350,54
168,2025,360,56
168,2025,370,57
168,2025,380,57
168,2025,390,57
168,2025,400,59
24,2025,10,3
24,2025,20,4
24,2025,30,5
24,2025,40,7
24,2025,50,11
24,2025,60,11
24,2025,70,14
24,2025,80,15
24,2025,90,15
24,2025,100,16
24,2025,110,17
24,2025,120,17
24,2025,130,18
24,2025,140,19
24,2025,150,19
24,2025,160,21
24,2025,170,23
24,2025,180,23
24,2025,190,25
24,2025,200,25
24,2025,210,26
24,2025,220,27
24,2025,230,29
24,2025,240,29
24,2025,250,31
24,2025,260,32
24,2025,270,33
24,2025,280,35
24,2025,290,37
24,2025,300,40
24,2025,310,42
24,2025,320,42
24,2025,330,42
24,2025,340,43
24,2025,350,44
24,2025,360,45
24,2025,370,46
24,2025,380,46
24,2025,390,48
24,2025,400,49
6,2025,10,6
6,2025,20,11
6,2025,30,15
6,2025,40,20
6,2025,50,23
6,2025,60,25
6,2025,70,28
6,2025,80,29
6,2025,90,29
6,2025,100,30
6,2025,110,31
6,2025,120,34
6,2025,130,34
6,2025,140,39
6,2025,150,41
6,2025,160,41
6,2025,170,43
6,2025,180,46
6,2025,190,47
6,2025,200,47
6,2025,210,48
6,2025,220,48
6,2025,230,48
6,2025,240,49
6,2025,250,50
6,2025,260,52
6,2025,270,53
6,2025,280,53
6,2025,290,54
6,2025,300,54
6,2025,310,54
6,2025,320,55
6,2025,330,55
6,2025,340,56
6,2025,350,56
6,2025,360,56
6,2025,370,59
6,2025,380,61
6,2025,390,61
6,2025,400,63
3,2025,10,0
3,2025,20,1
3,2025,30,2
3,2025,40,3
3,2025,50,5
3,2025,60,10
3,2025,70,12
3,2025,80,14
3,2025,90,16
3,2025,100,20
3,2025,110,20
3,2025,120,22
3,2025,130,25
3,2025,140,27
3,2025,150,29
3,2025,160,32
3,2025,170,33
3,2025,180,34
3,2025,190,34
3,2025,200,34
3,2025,210,34
3,2025,220,36
3,2025,230,37
3,2025,240,37
3,2025,250,39
3,2025,260,41
3,2025,270,42
3,2025,280,42
3,2025,290,44
3,2025,300,45
3,2025,310,45
3,2025,320,45
3,2025,330,46
3,2025,340,46
3,2025,350,46
3,2025,360,46
3,2025,370,47
3,2025,380,50
3,2025,390,50
3,2025,400,50
2,2025,10,0
2,2025,20,1
2,2025,30,2
2,2025,40,3
2,2025,50,6
2,2025,60,8
2,2025,70,9
2,2025,80,13
2,2025,90,15
2,2025,100,17
2,2025,110,18
2,2025,120,20
2,2025,130,22
2,2025,140,24
2,2025,150,27
2,2025,160,28
2,2025,170,29
2,2025,180,30
2,2025,190,30
2,2025,200,32
2,2025,210,33
2,2025,220,35
2,2025,230,37
2,2025,240,37
2,2025,250,38
2,2025,260,38
